date,ratings
2014-7-11,2.014
2014-8-1,1.272
2014-9-3,1.564
2014-10-8,1.657
2014-11-7,1.802
2015-0-6,1.074
2015-1-5,1.718
2015-2-7,1.949
2015-3-13,2.199
2015-4-13,1.893
2015-5-6,1.839
2015-6-12,1.946
2015-7-6,1.781
2015-8-5,1.532
2015-9-4,1.515
2015-10-7,1.681
2015-11-4,1.654
2016-0-2,1.684
2016-1-2,1.855
2016-2-3,1.674
2016-3-7,1.607
2016-4-6,1.828
2016-5-5,2.254
2016-6-4,2.012
2016-7-6,2.046
2016-8-8,1.761
2016-9-7,1.987
2016-10-5,1.923
2016-11-4,1.967
2017-0-7,1.912
2017-1-8,1.875
2017-2-7,2.008
2017-3-9,2.058
2017-4-6,2.347
2017-5-3,2.011
2017-6-7,2.096
