date,ratings
2001-5-30,1.547
2001-6-30,1.723
2001-7-30,1.66
2001-8-28,1.629
2001-9-26,1.511
2001-10-28,1.466
2001-11-31,1.456
2002-0-30,2.725
2002-1-27,1.476
2002-2-29,1.468
2002-3-29,1.366
2002-4-29,1.363
2002-5-29,1.433
2002-6-31,1.154
2002-7-29,2.022
2002-8-29,1.908
2002-9-30,1.978
2002-10-29,2.486
2002-11-31,2.423
2003-0-31,2.915
2003-1-28,2.806
2003-2-31,2.626
2003-3-30,3.256
2003-4-30,1.715
2003-5-30,1.686
2003-6-31,1.791
2003-7-31,1.897
2003-8-30,1.656
2003-9-31,1.918
2003-10-30,1.738
2003-11-31,1.745
2004-0-31,2.138
2004-1-29,2.063
2004-2-31,1.783
2004-3-30,1.778
2004-4-30,1.45
2004-5-30,1.61
2004-6-31,1.681
2004-7-30,1.51
2004-8-30,1.267
2004-9-31,1.195
2004-10-30,1.595
2004-11-31,1.703
2005-0-31,1.779
2005-1-28,1.65
2005-2-31,1.642
2005-3-30,1.443
2005-4-31,1.387
2005-5-30,1.779
2005-6-31,1.921
2005-7-31,1.768
2005-8-30,2.036
2005-11-3,1.838
2006-0-4,1.538
2006-1-2,1.512
2006-2-1,1.733
2006-3-2,1.567
2006-4-1,2.191
2006-5-1,1.456
2006-6-2,2.108
2006-7-2,2.019
2006-8-2,2.442
2006-9-1,2.202
2006-10-2,2.31
2006-11-1,2.562
2007-0-2,2.845
2007-1-3,2.982
2007-2-3,3.485
2007-3-1,3.137
2007-4-5,3.072
2007-5-2,2.616
2007-6-2,2.515
2007-7-5,2.575
2007-8-2,2.722
2007-9-4,2.685
2007-10-4,2.928
2007-11-3,2.733
2008-0-3,3.203
2008-1-7,2.334
2008-5-1,2.927
2008-6-2,2.757
2008-7-3,2.892
2008-8-3,3.13
2008-9-6,2.67
2008-10-2,2.925
2008-11-3,2.972
2009-0-2,3.36
2009-1-1,3.54
2009-2-5,3.607
2009-3-7,3.678
2009-4-1,3.548
2009-5-4,4.021
2009-6-2,3.513
2009-7-1,2.812
2009-8-5,2.995
2009-9-2,3.025
2009-10-2,2.916
2009-11-2,3.515
2010-0-5,2.707
2010-1-7,2.636
2010-2-7,2.651
2010-3-5,2.469
2010-4-15,2.084
2010-6-6,2.432
2010-6-30,2.401
2010-8-11,1.665
2010-9-2,1.659
2010-10-3,1.664
2010-11-7,1.509
2011-0-2,1.589
2011-1-8,2.558
2011-2-8,1.866
2011-3-3,1.513
2011-4-2,1.394
2011-5-5,1.501
2011-5-27,1.501
2011-6-8,2.242
2011-7-3,1.557
2011-8-10,1.469
2011-9-9,2.191
2011-10-7,2.565
2011-11-4,2.199
2012-0-8,2.316
2012-1-5,2.465
2012-2-11,3.386
2012-3-8,2.879
2012-4-9,2.135
2012-5-10,1.474
2012-6-4,1.454
2012-7-10,1.365
2012-8-2,1.328
2012-9-5,1.261
2012-10-4,1.278
2012-11-2,1.321
2013-0-5,1.976
2013-1-8,1.423
2013-2-11,1.37
2013-3-7,1.509
2013-4-8,1.536
2013-5-9,1.654
2013-6-7,1.844
2013-6-12,1.844
2013-7-4,2.093
2013-8-11,2.015
2013-9-10,2.038
2013-10-9,2.05
2013-11-6,1.852
2014-0-1,1.576
2014-1-8,1.929
2014-2-3,1.899
2014-3-10,1.75
2014-4-7,1.788
2014-5-8,2.0
2014-6-6,1.806
2014-7-11,2.172
2014-8-1,2.448
2014-9-3,1.771
2014-10-8,2.088
2014-11-7,2.433
2015-0-6,3.274
2015-1-5,3.514
2015-2-7,3.629
2015-3-13,3.297
2015-4-13,3.127
2015-5-6,2.295
2015-6-12,2.194
2015-7-6,2.162
2015-8-5,2.342
2015-9-4,2.292
2015-10-7,2.473
2015-11-4,2.363
2016-0-2,2.565
2016-1-2,2.201
2016-2-3,2.333
2016-3-7,2.566
2016-4-6,2.34
2016-5-5,2.583
2016-6-4,2.643
2016-7-6,2.705
2016-8-8,2.929
2016-9-7,2.751
2016-10-5,2.705
2016-11-4,2.862
2017-0-7,2.85
2017-1-8,2.872
2017-2-7,2.667
2017-3-9,2.851
2017-4-6,3.071
2017-5-3,3.025
2017-6-7,2.606
